,DBN,school_name,school_type,administrative district,american indian/alaskan native removals or suspensions resulting from incidents where nypd was contacted,asian removals or suspensions resulting from incidents where nypd was contacted,black removals or suspensions resulting from incidents where nypd was contacted,hispanic removals or suspensions resulting from incidents where nypd was contacted,white removals or suspensions resulting from incidents where nypd was contacted,multi-racial removals or suspensions resulting from incidents where nypd was contacted,unknown removals or suspensions resulting from incidents where nypd was contacted,principal,removal,superintendent,expulsions,female removals or suspensions resulting from incidents where nypd was contacted,male removals or suspensions resulting from incidents where nypd was contacted,total removals or suspensions resulting from incidents where nypd was contacted
175,03M402,The Urban Assembly School for Green Careers,High school,3.0,3,3,3,3,3,3,3,36,29,16,0,3,3,6
176,03M403,The Global Learning Collaborative,High school,3.0,3,3,3,3,3,3,3,3,6,3,0,3,3,3
177,03M404,Innovation Diploma Plus,High school,3.0,3,3,3,3,3,3,3,22,3,3,0,3,3,3
178,03M415,Wadleigh Secondary School for the Performing & Vis,Secondary School,3.0,3,3,3,3,3,3,3,17,0,8,0,3,3,3
179,03M417,Frank McCourt High School,High school,3.0,3,3,3,3,3,3,3,24,3,3,0,3,3,3
180,03M421,West Prep Academy,Junior High-Intermediate-Middle,3.0,3,3,3,3,3,3,3,18,60,7,0,3,3,3
181,03M452,P.S. 452,Elementary,3.0,3,3,3,3,3,3,3,3,8,3,0,3,3,3
182,03M479,Beacon High School,High school,3.0,3,3,3,3,3,3,3,0,0,3,0,3,3,3
183,03M485,Fiorello H. LaGuardia High School of Music & Art a,High school,3.0,3,3,3,3,3,3,3,3,0,3,0,3,3,3
184,03M492,"High School for Law, Advocacy and Community Justic",High school,3.0,3,3,3,3,3,3,3,16,3,3,0,3,3,3
185,03M494,High School of Arts and Technology,High school,3.0,3,3,3,3,3,3,3,62,0,10,0,3,3,3
186,03M505,Edward A. Reynolds West Side High School,High school,3.0,3,3,3,3,3,3,3,3,3,8,0,3,3,3
187,03M541,Manhattan / Hunter Science High School,High school,3.0,3,3,3,3,3,3,3,3,0,3,0,3,3,3
188,03M859,Special Music School,K-12 all grades,3.0,3,3,3,3,3,3,3,17,3,3,0,3,3,3
189,03M860,Frederick Douglass Academy II Secondary School,Secondary School,3.0,3,3,3,6,3,3,3,40,3,3,0,3,3,12
190,03M862,Mott Hall II,Junior High-Intermediate-Middle,3.0,3,3,3,3,3,3,3,26,38,18,0,3,3,3
191,04M007,P.S. 007 Samuel Stern,K-8,4.0,3,3,3,3,3,3,3,7,0,27,0,3,3,8
192,04M012,Tag Young Scholars,K-8,4.0,3,3,3,3,3,3,3,9,0,0,0,3,3,3
193,04M037,River East Elementary,Elementary,4.0,3,3,3,3,3,3,3,3,7,3,0,3,3,3
194,04M038,P.S. 38 Roberto Clemente,Elementary,4.0,3,3,3,3,3,3,3,3,21,3,0,3,3,3
195,04M057,James Weldon Johnson,K-8,4.0,3,3,3,3,3,3,3,19,3,3,0,3,3,3
196,04M072,The Lexington Academy,K-8,4.0,3,3,3,3,3,3,3,24,0,6,0,3,3,3
197,04M083,P.S. 083 Luis Munoz Rivera,Elementary,4.0,3,3,3,3,3,3,3,3,6,3,0,3,3,3
198,04M096,P.S. 096 Joseph Lanzetta,K-8,4.0,3,3,3,3,3,3,3,6,9,6,0,3,3,3
199,04M102,P.S. 102 Jacques Cartier,Elementary,4.0,3,3,3,3,3,3,3,0,13,0,0,3,3,3
200,04M108,P.S. 108 Assemblyman Angelo Del Toro Educational C,K-8,4.0,3,3,3,7,3,3,3,6,25,14,0,3,3,8
201,04M112,P.S. 112 Jose Celso Barbosa,Early Childhood,4.0,3,3,3,3,3,3,3,0,0,0,0,3,3,3
202,04M146,P.S. 146 Ann M. Short,Elementary,4.0,3,3,3,3,3,3,3,3,13,3,0,3,3,3
203,04M155,P.S. 155 William Paca,Elementary,4.0,3,3,3,3,3,3,3,0,3,0,0,3,3,3
204,04M171,P.S. 171 Patrick Henry,K-8,4.0,3,3,3,3,3,3,3,3,45,3,0,3,3,3
205,04M182,The Bilingual Bicultural School,Elementary,4.0,3,3,3,3,3,3,3,0,0,0,0,3,3,3
206,04M206,P.S. 206 Jose Celso Barbosa,K-8,4.0,3,3,3,3,3,3,3,21,6,23,0,3,3,3
207,04M224,M.S. 224 Manhattan East School for Arts & Academic,Junior High-Intermediate-Middle,4.0,3,3,3,3,3,3,3,14,0,10,0,3,3,3
208,04M310,THE JUDITH S. KAYE HIGH SCHOOL,Secondary School,4.0,3,3,3,3,3,3,3,9,3,3,0,3,3,3
209,04M372,Esperanza Preparatory Academy,Secondary School,4.0,3,3,3,3,3,3,3,47,3,3,0,3,3,3
210,04M375,Mosaic Preparatory Academy,Elementary,4.0,3,3,3,3,3,3,3,3,16,3,0,3,3,3
211,04M377,Renaissance School of the Arts,Junior High-Intermediate-Middle,4.0,3,3,3,3,3,3,3,12,3,3,0,3,3,3
212,04M435,Manhattan Center for Science and Mathematics,High school,4.0,3,3,3,3,3,3,3,20,3,3,0,3,3,3
213,04M495,Park East High School,High school,4.0,3,3,3,3,3,3,3,13,3,3,0,3,3,3
214,04M497,Central Park East I,Elementary,4.0,3,3,3,3,3,3,3,0,3,0,0,3,3,3
215,04M555,Central Park East High School,High school,4.0,3,3,3,3,3,3,3,3,0,0,0,3,3,3
216,04M610,Young Women's Leadership School,Secondary School,4.0,3,3,3,3,3,3,3,3,3,0,0,3,3,3
217,04M680,"Heritage School, The",High school,4.0,3,3,3,3,3,3,3,73,3,3,0,3,3,3
218,04M825,Isaac Newton Middle School for Math & Science,Junior High-Intermediate-Middle,4.0,3,3,3,3,3,3,3,17,0,20,0,3,3,3
219,04M964,Central Park East II,K-8,4.0,3,3,3,3,3,3,3,3,7,3,0,3,3,3
