,DBN,school_name,school_type,administrative_district_code,american indian/alaskan native removals and/or suspensions resulting from incidents where nypd was contacted,asian removals and/or suspensions resulting from incidents where nypd was contacted,black removals and/or suspensions resulting from incidents where nypd was contacted,hispanic removals and/or suspensions resulting from incidents where nypd was contacted,multi-racial removals and/or suspensions resulting from incidents where nypd was contacted,unknown removals and/or suspensions resulting from incidents where nypd was contacted,white removals and/or suspensions resulting from incidents where nypd was contacted,principal,removal,superintendent,expulsions,female removals and/or suspensions resulting from incidents where nypd was contacted,male removals and/or suspensions resulting from incidents where nypd was contacted,sy1920_total_removals_suspensions removals and/or suspensions resulting from incidents where nypd was contacted
177,03M402,The Urban Assembly School for Green Careers,High school,3.0,0,0,3,3,0,0,0,36,36,13,0,3,3,6
178,03M403,The Global Learning Collaborative,High school,3.0,0,0,3,3,0,0,0,3,3,3,0,3,3,3
179,03M404,Innovation Diploma Plus,High school,3.0,0,0,3,3,0,0,0,23,6,6,0,3,3,3
180,03M415,Wadleigh Secondary School for the Performing & Vis,Secondary School,3.0,0,0,0,0,0,0,0,8,3,0,0,0,0,0
181,03M417,Frank McCourt High School,High school,3.0,0,0,0,3,0,0,0,3,3,3,0,3,0,3
182,03M421,West Prep Academy,Junior High-Intermediate-Middle,3.0,0,0,0,0,0,0,0,3,3,3,0,0,0,0
183,03M452,P.S. 452,Elementary,3.0,0,0,0,0,0,0,0,3,8,0,0,0,0,0
184,03M479,Beacon High School,High school,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
185,03M485,Fiorello H. LaGuardia High School of Music & Art a,High school,3.0,0,0,0,0,0,0,3,6,0,3,0,3,3,3
186,03M492,"High School for Law, Advocacy and Community Justic",High school,3.0,0,0,0,0,0,0,3,15,0,3,0,0,3,3
187,03M494,High School of Arts and Technology,High school,3.0,0,0,3,3,0,0,0,33,3,3,0,3,3,3
188,03M505,Edward A. Reynolds West Side High School,High school,3.0,0,0,7,15,0,0,0,13,3,17,0,8,14,22
189,03M541,Manhattan / Hunter Science High School,High school,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
190,03M859,Special Music School,K-12 all grades,3.0,0,0,3,0,0,0,0,3,0,0,0,3,0,3
191,03M860,Frederick Douglass Academy II Secondary School,Secondary School,3.0,0,0,3,0,0,0,0,15,3,15,0,3,0,3
192,03M862,Mott Hall II,Junior High-Intermediate-Middle,3.0,0,0,0,0,0,0,0,20,0,3,0,0,0,0
