,DBN,school_name,school_type,administrative district,american indian/alaskan native removals or suspensions resulting from incidents where nypd was contacted,asian removals or suspensions resulting from incidents where nypd was contacted,black removals or suspensions resulting from incidents where nypd was contacted,hispanic removals or suspensions resulting from incidents where nypd was contacted,white removals or suspensions resulting from incidents where nypd was contacted,multi-racial removals or suspensions resulting from incidents where nypd was contacted,unknown removals or suspensions resulting from incidents where nypd was contacted,principal,removal,superintendent,expulsions,female removals or suspensions resulting from incidents where nypd was contacted,male removals or suspensions resulting from incidents where nypd was contacted,total removals or suspensions resulting from incidents where nypd was contacted
107,04M083,P.S. 083 Luis Munoz Rivera,Elementary,4.0,3,3,3,3,3,3,3,31,0,52,0,3,3,0
108,04M112,P.S. 112 Jose Celso Barbosa,Early Childhood,4.0,3,3,3,3,3,3,3,8,3,9,0,3,3,0
109,04M146,P.S. 146 Ann M. Short,Elementary,4.0,3,3,3,3,3,3,3,33,3,3,0,3,3,0
110,04M155,P.S. 155 William Paca,Elementary,4.0,3,3,3,3,3,3,3,50,0,7,0,3,3,0
111,04M171,P.S. 171 Patrick Henry,K-8,4.0,3,3,3,3,3,3,3,52,3,11,0,3,3,0
112,04M182,The Bilingual Bicultural School,Elementary,4.0,3,3,3,3,3,3,3,14,3,3,0,3,3,0
113,04M224,M.S. 224 Manhattan East School for Arts & Academic,Junior High-Intermediate-Middle,4.0,3,3,3,3,3,3,3,6,3,0,0,3,3,0
114,04M310,THE JUDITH S. KAYE HIGH SCHOOL,Secondary School,4.0,3,3,3,3,3,3,3,3,0,3,0,3,3,0
115,04M375,Mosaic Preparatory Academy,Elementary,4.0,3,3,3,3,3,3,3,7,0,3,0,3,3,0
116,04M435,Manhattan Center for Science and Mathematics,High school,4.0,3,3,3,3,3,3,3,8,0,0,0,3,3,0
117,04M497,Central Park East I,Elementary,4.0,3,3,3,3,3,3,3,0,0,0,0,3,3,0
118,04M555,Central Park East High School,High school,4.0,3,3,3,3,3,3,3,20,3,20,0,3,3,0
119,04M610,Young Women's Leadership School,Secondary School,4.0,3,3,3,3,3,3,3,10,0,3,0,3,3,0
120,04M964,Central Park East II,K-8,4.0,3,3,3,3,3,3,3,7,0,7,0,3,3,0
121,05M036,P.S. 036 Margaret Douglas,Elementary,5.0,3,3,3,3,3,3,3,13,8,3,0,3,3,0
122,05M125,P.S. 125 Ralph Bunche,Elementary,5.0,3,3,3,3,3,3,3,27,0,3,0,3,3,0
