,year,building_code,dbn,location_name,address,borough,register,major_crimes,other_crimes,non_criminal,property_crimes,violent_crimes,population_group,population_range,latitude,longitude
2550,2014-15,K290,19K290,P.S. 290 Juan Morel Campos,135 SCHENCK AVENUE,K,587,1.0,1.0,0.0,2.0,0.0,4C,501-750,40.67789,-73.889758
2551,2014-15,K291,32K291,J.H.S. 291 Roland Hayes,231 PALMETTO STREET,K,403,,,,,,3C,251-500,40.695362,-73.915142
2552,2014-15,K291,32K564,Bushwick Community High School,231 PALMETTO STREET,K,289,,,,,,3C,251-500,40.695362,-73.915142
2553,2014-15,K291,84K733      ,"Math, Engineering, and Science Academy Charter Hig",231 PALMETTO STREET,K,,,,,,,,,40.695362,-73.915142
2554,2014-15,K291,,231 PALMETTO STREET CONSOLIDATED LOCATION,231 PALMETTO STREET,K,692,0.0,0.0,10.0,0.0,0.0,4C,501-750,40.695362,-73.915142
2555,2014-15,K292,19K292,J.H.S. 292 Margaret S. Douglas,301 VERMONT STREET,K,694,,,,,,4C,501-750,40.671987,-73.893896
2556,2014-15,K292,19K359,UFT ELEMENTARY CHARTER SCHOOL(BROOKLYN) ,301 VERMONT STREET,K,,,,,,,,,40.671987,-73.893896
2557,2014-15,K292,,301 VERMONT STREET|300 WYONA STREET|CONSOLIDATED LOCATION,301 VERMONT STREET,K,694,1.0,5.0,4.0,2.0,4.0,4C,501-750,40.671987,-73.893896
2558,2014-15,K293,15K429,Brooklyn School for Global Studies,284 BALTIC STREET,K,250,,,,,,2C,1-250,40.685419,-73.993351
2559,2014-15,K293,15K497,School for International Studies,284 BALTIC STREET,K,466,,,,,,3C,251-500,40.685419,-73.993351
2560,2014-15,K293,84K129,Success Academy Charter School - Cobble Hill,284 BALTIC STREET,K,,,,,,,,,40.685419,-73.993351
2561,2014-15,K293,,284 BALTIC STREET CONSOLIDATED LOCATION,284 BALTIC STREET,K,716,0.0,4.0,1.0,2.0,2.0,4C,501-750,40.685419,-73.993351
2562,2014-15,K296,32K562,Evergreen Middle School for Urban Exploration,125 COVERT STREET,K,343,0.0,0.0,2.0,0.0,0.0,3C,251-500,40.688387,-73.910276
2563,2014-15,K297,14K297,P.S. 297 Abraham Stockton,700 PARK AVENUE,K,237,0.0,0.0,0.0,0.0,0.0,2C,1-250,40.697781,-73.947809
2564,2014-15,K298,23K298,P.S. 298 Dr. Betty Shabazz,85 WATKINS STREET,K,270,,,,,,3C,251-500,40.670986,-73.908194
2565,2014-15,K298,23K363,Brownsville Collaborative Middle School,85 WATKINS STREET,K,146,,,,,,2C,1-250,40.670986,-73.908194
2566,2014-15,K298,,85 WATKINS STREET CONSOLIDATED LOCATION,85 WATKINS STREET,K,416,0.0,0.0,4.0,0.0,0.0,3C,251-500,40.670986,-73.908194
2567,2014-15,K299,32K299,P.S. 299 Thomas Warren Field,88 WOODBINE STREET,K,349,0.0,1.0,0.0,0.0,1.0,3C,251-500,40.691077,-73.918152
2568,2014-15,KBXX,18K797,NEW HOPE ACADEMY CHARTER SCHOOL(BS),475 EAST   57 STREET,K,,0.0,0.0,0.0,0.0,0.0,,,40.643889,-73.922732
