,DBN,school_name,school_category,district_code,american_indian_or_alaskan_native,asian,black,hispanic,white,multi_racial,unknown
276,06M322,Middle School 322,junior high-intermediate-middle,6,3,3,3,23,3,3,3
277,06M324,M.S. 324 - Patria Mirabal,junior high-intermediate-middle,6,3,3,3,10,3,3,3
278,06M328,Community Math & Science Prep,junior high-intermediate-middle,6,3,3,3,3,3,3,3
279,06M346,Community Health Academy of the Heights,secondary school,6,3,3,3,3,3,3,3
280,06M348,Washington Heights Expeditionary Learning School,k-12 all grades,6,3,3,3,3,3,3,3
281,06M349,Harbor Heights,junior high-intermediate-middle,6,3,3,3,3,3,3,3
282,06M366,Washington Heights Academy,k-8,6,3,3,3,3,3,3,3
283,06M368,Hamilton Heights School,elementary,6,3,3,3,3,3,3,3
284,06M423,High School for Excellence and Innovation,high school,6,3,3,3,3,3,3,3
285,06M457,George Washington Yabc,high school,79,3,3,3,3,3,3,3
286,06M462,The College Academy,high school,6,3,3,3,3,3,3,3
287,06M463,High School for Media and Communications,high school,6,3,3,3,3,3,3,3
288,06M467,High School for Law and Public Service,high school,6,3,3,3,10,3,3,3
289,06M468,High School for Health Careers and Sciences,high school,6,3,3,3,3,3,3,3
290,06M513,Castle Bridge School,elementary,6,3,3,3,3,3,3,3
291,06M528,I.S. 528 Bea Fuller Rodgers School,junior high-intermediate-middle,6,3,3,3,3,3,3,3
292,06M540,A. Philip Randolph Campus High School,high school,6,3,3,3,3,3,3,3
293,06M552,Gregorio Luperon High School for Science and Mathe,high school,6,3,3,3,3,3,3,3
294,07X001,P.S. 001 Courtlandt School,elementary,7,3,3,3,3,3,3,3
295,07X005,P.S. 5 Port Morris,k-8,7,3,3,3,3,3,3,3
296,07X018,P.S. 018 John Peter Zenger,elementary,7,3,3,3,3,3,3,3
297,07X025,P.S. 025 Bilingual School,elementary,7,3,3,3,3,3,3,3
298,07X029,P.S./M.S. 029 Melrose School,k-8,7,3,3,15,3,3,3,3
299,07X030,P.S. 030 Wilton,elementary,7,3,3,3,3,3,3,3
300,07X031,P.S./M.S. 031 The William Lloyd Garrison,k-8,7,3,3,3,3,3,3,3
301,07X043,P.S. 043 Jonas Bronck,elementary,7,3,3,3,3,3,3,3
302,07X049,P.S. 049 Willis Avenue,elementary,7,3,3,3,3,3,3,3
303,07X065,P.S. 065 Mother Hale Academy,elementary,7,3,3,3,3,3,3,3
304,07X151,J.H.S. 151 Lou Gehrig,junior high-intermediate-middle,7,3,3,3,3,3,3,3
305,07X154,P.S. 154 Jonathan D. Hyatt,elementary,7,3,3,3,3,3,3,3
306,07X157,P.S. 157 Grove Hill,elementary,7,3,3,3,3,3,3,3
307,07X161,P.S. 161 Juan Ponce De Leon School,elementary,7,3,3,3,8,3,3,3
308,07X179,P.S. 179,elementary,7,3,3,3,3,3,3,3
309,07X221,South Bronx Preparatory: A College Board School,secondary school,7,3,3,3,3,3,3,3
310,07X223,The Laboratory School of Finance and Technology: X,secondary school,7,3,3,3,3,3,3,3
311,07X224,P.S./I.S. 224,junior high-intermediate-middle,7,3,3,3,3,3,3,3
312,07X259,"H.E.R.O. High (Health, Education, and Research Occ",high school,7,3,3,15,7,3,3,3
313,07X277,P.S. 277,elementary,7,3,3,3,3,3,3,3
314,07X296,South Bronx Academy for Applied Media,junior high-intermediate-middle,7,3,3,3,3,3,3,3
315,07X298,Academy of Public Relations,junior high-intermediate-middle,7,3,3,6,8,3,3,3
316,07X334,International Community High School,high school,7,3,3,3,3,3,3,3
317,07X343,Academy of Applied Mathematics and Technology,junior high-intermediate-middle,7,3,3,3,3,3,3,3
318,07X359,Concourse Village Elementary School,elementary,7,3,3,3,3,3,3,3
319,07X369,Young Leaders Elementary School,elementary,7,3,3,3,3,3,3,3
320,07X379,Jill Chaifetz Transfer High School,high school,7,3,3,3,3,3,3,3
321,07X381,Bronx Haven High School,high school,7,3,3,3,3,3,3,3
322,07X427,Community School for Social Justice,high school,7,3,3,3,7,3,3,3
323,07X456,Alfred E. Smith Campus YABC,high school,79,3,3,3,3,3,3,3
324,07X473,Mott Haven Village Preparatory High School,high school,7,3,3,13,7,3,3,3
325,07X495,University Heights Secondary School,high school,7,3,3,3,3,3,3,3
326,07X500,Hostos-Lincoln Academy of Science,secondary school,7,3,3,3,3,3,3,3
327,07X522,Bronx Design and Construction Academy,high school,7,3,3,7,3,3,3,3
328,07X527,Bronx Leadership Academy II High School,high school,7,3,3,3,3,3,3,3
329,07X548,Careers in Sports High School,high school,7,3,3,3,3,3,3,3
330,07X551,The Urban Assembly Bronx Academy of Letters,secondary school,7,3,3,7,3,3,3,3
331,07X557,Mott Haven Community High School,high school,7,3,3,3,3,3,3,3
332,07X584,I.S. 584,junior high-intermediate-middle,7,3,3,3,3,3,3,3
333,07X600,Alfred E. Smith Career and Technical Education Hig,high school,7,3,3,3,3,3,3,3
334,07X670,Health Opportunities High School,high school,7,3,3,3,3,3,3,3
335,08X014,P.S. X014 Senator John Calandra,elementary,8,3,3,3,3,3,3,3
336,08X036,P.S. 036 Unionport,elementary,8,3,3,3,3,3,3,3
337,08X048,P.S. 048 Joseph R. Drake,elementary,8,3,3,3,3,3,3,3
