,DBN,Location Name,Location Type,Total SW & GC,Total GC,Full Time,Part Time,Bilingual,Serving more than one location,SY2016-17 Enrollment,Ratio GC & SW,Ratio GC Only
687,13K313,13K313 - SATELLITE WEST MIDDLE SCHOOL,JUNIOR HIGH-INTERMEDIATE-MIDDLE    ,1.4,1.0,1.0,0.0,0.0,0.0,137.0,69.0,137.0
688,13K350,13K350 - URBAN ASSEMBLY HIGH SCHOOL OF MUSIC AND ART,HIGH SCHOOL                        ,1.0,1.0,1.0,0.0,0.0,0.0,268.0,268.0,268.0
689,13K351,13K351 - THE URBAN ASSEMBLY UNISON SCHOOL,JUNIOR HIGH-INTERMEDIATE-MIDDLE    ,1.0,0.0,0.0,0.0,0.0,0.0,143.0,143.0,
690,13K412,13K412 - BROOKLYN COMMUNITY HIGH SCHOOL OF COMMUNICATION  A,HIGH SCHOOL                        ,2.0,1.0,1.0,0.0,0.0,0.0,410.0,205.0,410.0
691,13K419,13K419 - SCIENCE SKILLS CENTER HIGH SCHOOL FOR SCIENCE  TEC,HIGH SCHOOL                        ,4.0,3.0,3.0,0.0,0.0,0.0,544.0,136.0,182.0
692,13K430,13K430 - BROOKLYN TECHNICAL HIGH SCHOOL,HIGH SCHOOL                        ,24.0,21.0,21.0,0.0,1.0,0.0,5682.0,237.0,271.0
693,13K439,13K439 - BROOKLYN INTERNATIONAL HIGH SCHOOL,HIGH SCHOOL                        ,2.0,1.0,1.0,0.0,0.0,0.0,361.0,181.0,361.0
694,13K483,13K483 - THE URBAN ASSEMBLY SCHOOL FOR LAW AND JUSTICE,HIGH SCHOOL                        ,2.0,0.0,0.0,0.0,0.0,0.0,460.0,230.0,
695,13K492,13K492 - ACADEMY OF ARTS AND LETTERS,K-8                                ,1.0,0.0,0.0,0.0,0.0,0.0,517.0,517.0,
696,13K499,13K499 - ACORN COMMUNITY HIGH SCHOOL,HIGH SCHOOL                        ,2.0,1.0,1.0,0.0,0.0,0.0,262.0,131.0,262.0
697,13K527,13K527 - URBAN ASSEMBLY INSTITUTE OF MATH AND SCIENCE FOR Y,JUNIOR HIGH-INTERMEDIATE-MIDDLE    ,4.0,2.0,2.0,0.0,0.0,0.0,487.0,122.0,244.0
698,13K553,13K553 - BROOKLYN ACADEMY HIGH SCHOOL,HIGH SCHOOL                        ,1.0,1.0,1.0,0.0,0.0,0.0,135.0,135.0,135.0
699,13K575,13K575 - BEDFORD STUYVESANT PREPARATORY HIGH SCHOOL,HIGH SCHOOL                        ,2.0,1.0,1.0,0.0,0.0,0.0,122.0,61.0,122.0
700,13K595,13K595 - BEDFORD ACADEMY HIGH SCHOOL,HIGH SCHOOL                        ,2.0,2.0,2.0,0.0,0.0,0.0,358.0,179.0,179.0
701,13K605,13K605 - GEORGE WESTINGHOUSE CAREER AND TECHNICAL EDUCATION,HIGH SCHOOL                        ,7.0,4.0,4.0,0.0,0.0,0.0,690.0,99.0,173.0
702,13K616,13K616 - BROOKLYN HIGH SCHOOL FOR LEADERSHIP AND COMMUNITY,HIGH SCHOOL                        ,1.0,1.0,1.0,0.0,0.0,0.0,203.0,102.0,102.0
703,13K670,13K670 - BENJAMIN BANNEKER ACADEMY,HIGH SCHOOL                        ,3.0,3.0,3.0,0.0,0.0,0.0,896.0,224.0,224.0
704,13K674,13K674 - CITY POLYTECHNIC HIGH SCHOOL OF ENGINEERING  ARCHI,HIGH SCHOOL                        ,4.0,3.0,3.0,0.0,0.0,0.0,449.0,113.0,150.0
705,13K691,13K691 - FORT GREENE PREPARATORY ACADEMY,JUNIOR HIGH-INTERMEDIATE-MIDDLE    ,1.0,1.0,1.0,0.0,0.0,0.0,218.0,218.0,218.0
706,14K016,14K016 - P.S. 016 LEONARD DUNKLY,ELEMENTARY                         ,2.4,1.4,1.0,0.4,0.0,0.4,232.0,78.0,116.0
707,14K017,14K017 - P.S. 017 HENRY D. WOODWORTH,ELEMENTARY                         ,1.2,0.0,0.0,0.0,0.0,0.0,295.0,148.0,
708,14K018,14K018 - P.S. 018 EDWARD BUSH,ELEMENTARY                         ,1.0,1.0,1.0,0.0,0.0,0.0,177.0,177.0,177.0
709,14K023,14K023 - P.S. 023 CARTER G. WOODSON,ELEMENTARY                         ,1.0,1.0,1.0,0.0,0.0,0.0,321.0,321.0,321.0
710,14K031,14K031 - P.S. 031 SAMUEL F. DUPONT,ELEMENTARY                         ,0.4,0.0,0.0,0.0,0.0,0.0,593.0,593.0,
711,14K034,14K034 - P.S. 034 OLIVER H. PERRY,ELEMENTARY                         ,0.2,0.0,0.0,0.0,0.0,0.0,489.0,489.0,
712,14K050,14K050 - J.H.S. 050 JOHN D. WELLS,JUNIOR HIGH-INTERMEDIATE-MIDDLE    ,1.4,1.0,1.0,0.0,0.0,0.0,268.0,134.0,268.0
713,14K059,14K059 - P.S. 059 WILLIAM FLOYD,ELEMENTARY                         ,1.4,1.4,1.0,0.4,0.0,0.4,318.0,159.0,159.0
714,14K071,14K071 - JUAN MOREL CAMPOS SECONDARY SCHOOL,SECONDARY SCHOOL                   ,3.8,3.0,3.0,0.0,0.0,0.0,596.0,149.0,199.0
715,14K084,14K084 - P.S. 084 JOSE DE DIEGO,ELEMENTARY                         ,3.0,1.0,1.0,0.0,0.0,0.0,799.0,267.0,799.0
